pkd_code,opis,szczegoly
90.04.Z,"Działalność obiektów kulturalnych","Obejmuje prowadzenie domów kultury, ośrodków kultury, centrów kulturalnych, sal koncertowych, filharmonii."
91.01.A,"Działalność bibliotek","Obejmuje prowadzenie bibliotek publicznych, naukowych, szkolnych, wypożyczanie książek, mediateki."
91.02.Z,"Działalność muzeów","Obejmuje prowadzenie muzeów, galerii sztuki, wystaw stałych i czasowych, kolekcji, ekspozycji muzealnych."
91.03.Z,"Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych","Obejmuje utrzymanie i udostępnianie zabytków, zamków, pałaców, ruin, pomników, miejsc historycznych."
91.04.Z,"Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody","Obejmuje prowadzenie ogrodów zoologicznych, zoo, ogrodów botanicznych, akwariów, parków narodowych, rezerwatów przyrody."
92.00.Z,"Działalność związana z grami losowymi i zakładami wzajemnymi","Obejmuje prowadzenie kasyn, salonów gier, automatów do gier, loterii, zakładów bukmacherskich, zakładów sportowych, gier hazardowych online."
93.11.Z,"Działalność obiektów sportowych","Obejmuje prowadzenie stadionów, hal sportowych, basenów, kortów tenisowych, lodowisk, torów wyścigowych, strzelnic, hipodromów."
93.12.Z,"Działalność klubów sportowych","Obejmuje prowadzenie klubów sportowych: piłkarskich, koszykarskich, siatkarskich, lekkoatletycznych, pływackich. Szkolenie sportowców."
93.13.Z,"Działalność obiektów służących poprawie kondycji fizycznej","Obejmuje prowadzenie siłowni, fitness clubów, klubów fitness, centrów rekreacyjnych, SPA, sauny."
93.19.Z,"Pozostała działalność związana ze sportem","Obejmuje organizację wydarzeń sportowych, zawodów, turniejów, lig sportowych, działalność sędziów, trenerów."
93.21.Z,"Działalność wesołych miasteczek i parków rozrywki","Obejmuje prowadzenie parków rozrywki, wesołych miasteczek, parków wodnych, lunaparków."
93.29.Z,"Pozostała działalność rozrywkowa i rekreacyjna","Obejmuje prowadzenie escape roomów, kręgielni, bilardów, parków trampolin, paintballu, sal zabaw, dyskoteki."
94.11.Z,"Działalność organizacji komercyjnych i pracodawców","Obejmuje izby handlowe, izby gospodarcze, organizacje pracodawców, związki pracodawców."
94.12.Z,"Działalność organizacji profesjonalnych","Obejmuje samorządy zawodowe, izby lekarskie, adwokackie, inżynierskie, stowarzyszenia branżowe."
94.20.Z,"Działalność związków zawodowych","Obejmuje działalność związków zawodowych, organizacji pracowniczych, ochronę praw pracowników."
94.91.Z,"Działalność organizacji religijnych","Obejmuje działalność kościołów, parafii, zakonów, organizacji religijnych, misji, duszpasterstw."
94.99.Z,"Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana","Obejmuje stowarzyszenia, fundacje, organizacje pozarządowe, NGO, kluby hobbystyczne, organizacje charytatywne."
95.11.Z,"Naprawa i konserwacja komputerów i urządzeń peryferyjnych","Obejmuje naprawę komputerów, laptopów, drukarek, monitorów. Serwis komputerowy, wymiana podzespołów, czyszczenie, modernizacja."
95.12.Z,"Naprawa i konserwacja sprzętu (tele)komunikacyjnego","Obejmuje naprawę telefonów, smartfonów, tabletów, wymiana ekranów, baterii, serwis GSM."
95.21.Z,"Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku","Obejmuje naprawę telewizorów, radioodbiorników, odtwarzaczy, kamer, sprzętu audio-wideo."
95.22.Z,"Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu użytku domowego i ogrodniczego","Obejmuje naprawę pralek, lodówek, zmywarek, kuchenek, mikrofalówek, odkurzaczy, żelazek. Naprawa kosiarek, pilarek."
95.23.Z,"Naprawa obuwia i wyrobów skórzanych","Obejmuje naprawę obuwia, szewstwo, wymiana obcasów, zelówek, naprawa torebek, walizek, pasków skórzanych."
95.24.Z,"Naprawa i konserwacja mebli i wyposażenia domowego","Obejmuje naprawę mebli, tapicerowanie, renowację mebli, odnawianie, lakierowanie mebli."
95.25.Z,"Naprawa zegarków, zegarów i biżuterii","Obejmuje naprawę zegarków, zegarów, biżuterii, złotnictwo naprawcze, wymiana baterii w zegarkach."
95.29.Z,"Naprawa pozostałych artykułów użytku osobistego i domowego","Obejmuje naprawę rowerów, instrumentów muzycznych, zabawek, naprawa odzieży, usługi krawieckie naprawcze."
96.01.Z,"Pranie i czyszczenie wyrobów włókienniczych i futrzarskich","Obejmuje pralnie chemiczne, pralnie wodne, magle, czyszczenie chemiczne odzieży, pranie dywanów, firan, mundurów, pościeli."
96.02.Z,"Fryzjerstwo i pozostałe zabiegi kosmetyczne","Obejmuje salony fryzjerskie, zakłady fryzjerskie, strzyżenie, farbowanie, modelowanie włosów. Salony kosmetyczne, zabiegi pielęgnacyjne, manicure, pedicure, makijaż, depilacja, przedłużanie rzęs."
96.03.Z,"Pogrzeby i działalność pokrewna","Obejmuje zakłady pogrzebowe, organizacja pogrzebów, kremacja, balsamowanie, sprzedaż trumien, urn, prowadzenie cmentarzy."
96.04.Z,"Działalność usługowa związana z poprawą kondycji fizycznej","Obejmuje salony SPA, łaźnie tureckie, sauny, solaria, masaże relaksacyjne, gabinety odnowy biologicznej."
96.09.Z,"Pozostała działalność usługowa, gdzie indziej niesklasyfikowana","Obejmuje usługi astrologiczne, wróżbiarskie, towarzyskie. Automaty do zdjęć, szatnie, toalety publiczne, salony tatuażu, piercingu."
97.00.Z,"Gospodarstwa domowe zatrudniające pracowników","Obejmuje zatrudnianie pomocy domowej, pokojówek, kucharzy, ogrodników, opiekunów, szoferów przez gospodarstwa domowe."
99.00.Z,"Organizacje i zespoły eksterytorialne","Obejmuje działalność organizacji międzynarodowych, ambasad, konsulatów, ONZ, NATO, UE na terytorium Polski."
